"no.","day","stream","stomach.id","species","FL","W","condition","category","order","family","bl..mm.","mass..mg."
1874,"07.08.30-31","nadani",24,"K",102,12.2,NA,"T","","Rhaphidophoridae",12.4,33.81
1875,"07.08.30-31","nadani",23,"K",186,82.9,NA,"T","","Rhaphidophoridae",13,38.82
1876,"07.08.30-31","nadani",23,"K",186,82.9,NA,"T","","Rhaphidophoridae",20.2,140.78
1881,"07.08.30-31","nadani",40,"K",133,25.5,NA,"AL","Ephemeroptera","ヒラタカゲロウ",2.7,0.17
1882,"07.08.30-31","nadani",40,"K",133,25.5,NA,"AL","Trichoptera","カワトビケラ",4.5,0.28
1883,"07.08.30-31","nadani",40,"K",133,25.5,NA,"AL","Trichoptera","カワトビケラ",4.8,0.34
1887,"07.08.30-31","nadani",21,"K",174,63.5,NA,"T","","Rhaphidophoridae",22,180.68
1888,"07.08.30-31","nadani",21,"K",174,63.5,NA,"T","","Rhaphidophoridae",17.3,89.5
1890,"07.08.30-31","nadani",11,"K",177,66.2,NA,"T","","Rhaphidophoridae",19.6,128.91
1891,"07.08.30-31","nadani",11,"K",177,66.2,NA,"T","","Rhaphidophoridae",14.7,55.6
1892,"07.08.30-31","nadani",11,"K",177,66.2,NA,"T","","Rhaphidophoridae",16.2,73.86
1893,"07.08.30-31","nadani",11,"K",177,66.2,NA,"T","","Rhaphidophoridae",16.1,72.54
1895,"07.08.30-31","nadani",10,"K",134,30.6,NA,"T","","Rhaphidophoridae",18.9,115.91
1897,"07.08.30-31","nadani",41,"K",104,13.4,NA,"AL","Amphipoda","ヨコエビ",7.8,3.9
1898,"07.08.30-31","nadani",41,"K",104,13.4,NA,"AL","Ephemeroptera","ヒラタカゲロウ",4.1,0.53
1899,"07.08.30-31","nadani",41,"K",104,13.4,NA,"AL","Ephemeroptera","ヒラタカゲロウ",6.2,1.65
1900,"07.08.30-31","nadani",41,"K",104,13.4,NA,"AL","Trichoptera","カワトビケラ",15.9,9.97
1906,"07.08.30-31","nadani",43,"K",177,56.5,NA,"T","","Rhaphidophoridae",19.9,134.76
1909,"07.08.30-31","nadani",12,"K",166,55.1,NA,"T","","Rhaphidophoridae",14.7,55.6
1910,"07.08.30-31","nadani",12,"K",166,55.1,NA,"T","","Rhaphidophoridae",16.1,72.54
1913,"07.08.30-31","nadani",18,"K",148,39.6,NA,"T","","Rhaphidophoridae",19.9,134.76
1914,"07.08.30-31","nadani",38,"K",142,34.2,NA,"T","","Rhaphidophoridae",18.6,110.61
1915,"07.08.30-31","nadani",4,"K",225,120.7,NA,"T","","Rhaphidophoridae",22.1,183.09
1916,"07.08.30-31","nadani",4,"K",225,120.7,NA,"T","","Rhaphidophoridae",16.8,82.15
1917,"07.08.30-31","nadani",4,"K",225,120.7,NA,"T","","Rhaphidophoridae",10.5,20.79
1918,"07.08.30-31","nadani",22,"K",156,42.7,NA,"T","","Rhaphidophoridae",18.9,115.91
1919,"07.08.30-31","nadani",22,"K",156,42.7,NA,"T","","Rhaphidophoridae",27.7,354.32
1922,"07.08.30-31","nadani",37,"K",141,36.6,NA,"T","","Rhaphidophoridae",27.1,332.35
1923,"07.08.30-31","nadani",37,"K",141,36.6,NA,"T","","Rhaphidophoridae",15.6,66.15
1924,"07.08.30-31","nadani",17,"K",159,47.8,NA,"T","","Rhaphidophoridae",21.6,171.25
1925,"07.08.30-31","nadani",17,"K",159,47.8,NA,"T","","Rhaphidophoridae",18,100.5
