family,EPAmg.g_dw_mean,EPAmg.g_dw_sd,Sample.size,order,Site,Season,Reference
Baetidae,16.3,3.6,2,Ephemeroptera,Ala-Koitajoki,NA,Kesti et al. 2024
Baetidae,9.3,NA,1,Ephemeroptera,Hanhijoki,NA,Kesti et al. 2024
Baetidae,9.9,NA,1,Ephemeroptera,Naarajoki,NA,Kesti et al. 2024
Hydropsychidae,12.8,2.3,11,Trichoptera,Ala-Koitajoki,NA,Kesti et al. 2024
Hydropsychidae,16.3,0.4,2,Trichoptera,Naarajoki,NA,Kesti et al. 2024
Perlodidae,8.4,1.1,3,Plecoptera,Kuusoja,NA,Kesti et al. 2024
Perlodidae,11.2,9.7,3,Plecoptera,Naarajoki,NA,Kesti et al. 2024
Perlodidae,11,1.3,4,Plecoptera,Venejoki,NA,Kesti et al. 2024
Leptophlebiidae,5.7,3.1,2,Ephemeroptera,Kalliojoki,NA,Kesti et al. 2024
Leptophlebiidae,8.9,NA,1,Ephemeroptera,Kuusoja,NA,Kesti et al. 2024
Leptophlebiidae,4.7,NA,1,Ephemeroptera,Venejoki,NA,Kesti et al. 2024
Heptageniidae,7.4,2.2,10,Ephemeroptera,Ala-Koitajoki,NA,Kesti et al. 2024
Heptageniidae,3.2,NA,1,Ephemeroptera,Hanhijoki,NA,Kesti et al. 2024
Heptageniidae,3.9,1,3,Ephemeroptera,Kalliojoki,NA,Kesti et al. 2024
Heptageniidae,8,NA,1,Ephemeroptera,Kuusoja,NA,Kesti et al. 2024
Heptageniidae,4.5,2.3,2,Ephemeroptera,Naarajoki,NA,Kesti et al. 2024
Heptageniidae,6,0.6,3,Ephemeroptera,Venejoki,NA,Kesti et al. 2024
Hydropsychidae,23.7,3.2,2,Trichoptera,Ala-Koitajoki,NA,Kesti et al. 2024
Hydropsychidae,14.6,1.6,3,Trichoptera,Naarajoki,NA,Kesti et al. 2024
Lepidostomatidae,1.5,1.3,3,Trichoptera,Ala-Koitajoki,NA,Kesti et al. 2024
Lepidostomatidae,4.4,0.4,2,Trichoptera,Naarajoki,NA,Kesti et al. 2024
Leuctridae,8.1,0.7,2,Plecoptera,Ala-Koitajoki,NA,Kesti et al. 2024
Leuctridae,5.5,NA,1,Plecoptera,Venejoki,NA,Kesti et al. 2024
Nemouridae,7.2,0.8,3,Plecoptera,Kuusoja,NA,Kesti et al. 2024
Nemouridae,3.8,0.3,2,Plecoptera,Venejoki,NA,Kesti et al. 2024
Polycentropodidae,15.7,NA,1,Trichoptera,Ala-Koitajoki,NA,Kesti et al. 2024
Polycentropodidae,13.7,2.3,5,Trichoptera,Kalliojoki,NA,Kesti et al. 2024
Polycentropodidae,13.7,0.1,2,Trichoptera,Venejoki,NA,Kesti et al. 2024
Nemouridae,2.6,0.2,2,Plecoptera,Hanhijoki,NA,Kesti et al. 2024
Nemouridae,3.1,0.3,3,Plecoptera,Ulkkajoki,NA,Kesti et al. 2024
Gammaridae,1.48,0.74,3,Amphipoda,NA,NA,Labed-Veydert et al. 2021
Heptageniidae,4.54,2.32,3,Ephemeroptera,NA,NA,Labed-Veydert et al. 2021
Baetidae,6.42,1.96,3,Ephemeroptera,NA,NA,Labed-Veydert et al. 2021
Leuctridae,2.16,0.4,3,Plecoptera,NA,NA,Labed-Veydert et al. 2021
Perlodidae,3.7,0.55,3,Plecoptera,NA,NA,Labed-Veydert et al. 2021
Nemouridae,3.57,0.43,3,Plecoptera,NA,NA,Labed-Veydert et al. 2021
Odontoceridae,1.85,1.44,3,Trichoptera,NA,NA,Labed-Veydert et al. 2021
Rhyacophilidae,3.16,1.29,3,Trichoptera,NA,NA,Labed-Veydert et al. 2021
Gammaridae,1.48,0.74,3,Amphipoda,NA,Spring,Labed-Veydert et al. 2023
Gammaridae,1.6,0.62,3,Amphipoda,NA,Summer,Labed-Veydert et al. 2023
Gammaridae,0.62,0.15,3,Amphipoda,NA,Autumn,Labed-Veydert et al. 2023
Heptageniidae,4.54,2.32,3,Ephemeroptera,NA,Spring,Labed-Veydert et al. 2023
Heptageniidae,2.42,0.48,3,Ephemeroptera,NA,Summer,Labed-Veydert et al. 2023
Heptageniidae,1.04,0.49,3,Ephemeroptera,NA,Autumn,Labed-Veydert et al. 2023
Leuctridae,4.54,2.32,3,Plecoptera,NA,Spring,Labed-Veydert et al. 2023
Leuctridae,2.42,0.48,3,Plecoptera,NA,Summer,Labed-Veydert et al. 2023
Leuctridae,1.04,0.49,3,Plecoptera,NA,Autumn,Labed-Veydert et al. 2023
Perlodidae,3.02,0.86,3,Plecoptera,NA,Spring,Labed-Veydert et al. 2023
Perlodidae,5.41,1.35,3,Plecoptera,NA,Summer,Labed-Veydert et al. 2023
Perlodidae,1.48,0.42,3,Plecoptera,NA,Autumn,Labed-Veydert et al. 2023
Rhyacophilidae,3.16,1.29,3,Trichoptera,NA,Spring,Labed-Veydert et al. 2023
Rhyacophilidae,5,2.68,3,Trichoptera,NA,Summer,Labed-Veydert et al. 2023
Rhyacophilidae,1.92,0.83,3,Trichoptera,NA,Autumn,Labed-Veydert et al. 2023
Hydropsychidae,10.64017817,NA,2,Trichoptera,R,NA,Larsen et al. 2017
NA,17.3,1.8,17,Ephemeroptera,NA,NA,Makhutova et al. 2025
NA,7.66,1.03,4,Plecoptera,NA,NA,Makhutova et al. 2025
NA,7.19,1.43,15,Trichoptera,NA,NA,Makhutova et al. 2025
NA,6.71,0.59,5,Amphipoda,NA,NA,Makhutova et al. 2025
